cake,weight,ingredient,measure
Angel,0.25,almond essence,teaspoon
Angel,1.25,cream of tartar,teaspoon
Angel,10,egg white,one
Angel,1,sifted flour,cup
Angel,1.5,granulated sugar,cup
Angel,0.25,salt,teaspoon
Angel,1,vanilla extract,teaspoon
Babas au Rhum,0.25,butter,cup
Babas au Rhum,3,dried currants,tablespoon
Babas au Rhum,1,eggs,one
Babas au Rhum,2,egg yolk,one
Babas au Rhum,1.75,sifted flour,cup
Babas au Rhum,0.5,lemon rind,teaspoon
Babas au Rhum,0.25,milk,cup
Babas au Rhum,2,rum,ounce
Babas au Rhum,0.25,granulated sugar,cup
Babas au Rhum,0.25,water,cup
Babas au Rhum,0.6,yeast,ounce
Sweet Chocolate,1,butter,cup
Sweet Chocolate,4,chocolate,ounce
Sweet Chocolate,4,eggs,one
Sweet Chocolate,2.5,sifted flour,cup
Sweet Chocolate,1,milk,cup
Sweet Chocolate,1,soda,teaspoon
Sweet Chocolate,2,granulated sugar,cup
Sweet Chocolate,0.5,salt,teaspoon
Sweet Chocolate,1,vanilla extract,teaspoon
Sweet Chocolate,0.5,water,cup
Buche de Noel,4,eggs,one
Buche de Noel,1,sifted flour,cup
Buche de Noel,1.3,granulated sugar,cup
Buche de Noel,0.5,salt,teaspoon
Buche de Noel,1,vanilla extract,teaspoon
Cheesecake,0.25,butter,cup
Cheesecake,1.5,cottage cheese,pound
Cheesecake,6,eggs,one
Cheesecake,0.25,sifted flour,cup
Cheesecake,1,lemon juice,tablespoon
Cheesecake,1,lemon rind,teaspoon
Cheesecake,1,sour cream cup,NA
Cheesecake,1,granulated sugar,cup
Cheesecake,0.25,salt,teaspoon
Cheesecake,6,zwiebach,ounce
Rum Cheesecake,1.5,cottage cheese,pound
Rum Cheesecake,2,eggs,one
Rum Cheesecake,2,gelatin,tablespoon
Rum Cheesecake,1,heavy cream,cup
Rum Cheesecake,1,lemon juice,tablespoon
Rum Cheesecake,1,lemon rind,teaspoon
Rum Cheesecake,1,milk,cup
Rum Cheesecake,1,rum,ounce
Rum Cheesecake,1,granulated sugar,cup
Rum Cheesecake,0.25,salt,teaspoon
Blender Cheesecake,0.5,cottage cheese,pound
Blender Cheesecake,1,crushed ice,cup
Blender Cheesecake,0.3,crumbs,cup
Blender Cheesecake,2,egg yolk,one
Blender Cheesecake,1,gelatin,tablespoon
Blender Cheesecake,1,lemon juice,tablespoon
Blender Cheesecake,1,lemon rind,teaspoon
Blender Cheesecake,1,sour cream cup,NA
Blender Cheesecake,0.5,water,cup
One Bowl Chocolate,2,baking powder,teaspoon
One Bowl Chocolate,10,cocoa,tablespoon
One Bowl Chocolate,2,eggs,one
One Bowl Chocolate,2,sifted flour,cup
One Bowl Chocolate,0.7,milk,cup
One Bowl Chocolate,0.5,soda,teaspoon
One Bowl Chocolate,10,shortening,tablespoon
One Bowl Chocolate,1.5,granulated sugar,cup
One Bowl Chocolate,0.25,salt,teaspoon
One Bowl Chocolate,1,vanilla extract,teaspoon
One Bowl Chocolate,0.5,water,cup
Red Devil's Food,0.3,cocoa,tablespoon
Red Devil's Food,2,eggs,one
Red Devil's Food,1.75,sifted flour,cup
Red Devil's Food,1,milk,cup
Red Devil's Food,1.25,soda,teaspoon
Red Devil's Food,0.5,shortening,tablespoon
Red Devil's Food,1.5,granulated sugar,cup
Red Devil's Food,1,salt,teaspoon
Red Devil's Food,1,vanilla extract,teaspoon
Sour Cream Fudge,3,chocolate,ounce
Sour Cream Fudge,2,eggs,one
Sour Cream Fudge,2,sifted flour,cup
Sour Cream Fudge,1,soda,teaspoon
Sour Cream Fudge,1,sour cream cup,NA
Sour Cream Fudge,0.3,shortening,tablespoon
Sour Cream Fudge,1.5,granulated sugar,cup
Sour Cream Fudge,1,salt,teaspoon
Sour Cream Fudge,1,vanilla extract,teaspoon
Sour Cream Fudge,0.25,water,cup
Hungarian Cream,1.5,almond essence,teaspoon
Hungarian Cream,3,baking powder,teaspoon
Hungarian Cream,3,eggs,one
Hungarian Cream,3,sifted flour,cup
Hungarian Cream,2,heavy cream,cup
Hungarian Cream,1.5,granulated sugar,cup
Hungarian Cream,1,salt,teaspoon
Hungarian Cream,2,vanilla extract,teaspoon
Crumb and Nut,3,baking powder,teaspoon
Crumb and Nut,3,crumbs,cup
Crumb and Nut,4,eggs,one
Crumb and Nut,1,milk,cup
Crumb and Nut,1,nuts,cup
Crumb and Nut,1,shortening,tablespoon
Crumb and Nut,1,granulated sugar,cup
Crumb and Nut,2,vanilla extract,teaspoon
Spiced Pound,1,butter,cup
Spiced Pound,5,eggs,one
Spiced Pound,2,sifted flour,cup
Spiced Pound,1.5,nutmeg,teaspoon
Spiced Pound,1.7,granulated sugar,cup
Spiced Pound,0.5,salt,teaspoon
Strawberry Roll,0.75,baking powder,teaspoon
Strawberry Roll,0.5,cottage cheese,pound
Strawberry Roll,4,eggs,one
Strawberry Roll,0.75,sifted flour,cup
Strawberry Roll,0.75,granulated sugar,cup
Strawberry Roll,1,strawberries,quart
Strawberry Roll,1,salt,teaspoon
Strawberry Roll,1,vanilla extract,teaspoon
Savarin,0.7,butter,cup
Savarin,3,eggs,one
Savarin,1.5,sifted flour,cup
Savarin,1,lemon rind,teaspoon
Savarin,0.25,milk,cup
Savarin,0.6,granulated sugar,cup
Savarin,0.5,salt,teaspoon
Savarin,0.25,water,cup
Savarin,1,yeast,ounce
Banana Shortcake,4,baking powder,teaspoon
Banana Shortcake,0.6,butter,cup
Banana Shortcake,3,bananas,one
Banana Shortcake,3,sifted flour,cup
Banana Shortcake,1,heavy cream,cup
Banana Shortcake,1,milk,cup
Banana Shortcake,0.13,granulated sugar,cup
Banana Shortcake,0.5,salt,teaspoon
Strawberry Shortcake,3,baking powder,teaspoon
Strawberry Shortcake,0.12,butter,cup
Strawberry Shortcake,0.2,cottage cheese,pound
Strawberry Shortcake,1,eggs,one
Strawberry Shortcake,2,sifted flour,cup
Strawberry Shortcake,0.5,milk,cup
Strawberry Shortcake,1,sour cream cup,NA
Strawberry Shortcake,0.6,granulated sugar,cup
Strawberry Shortcake,1,strawberries,quart
Strawberry Shortcake,0.75,salt,teaspoon
Sponge,0.5,almond essence,teaspoon
Sponge,1,baking powder,teaspoon
Sponge,4,eggs,one
Sponge,0.75,sifted flour,cup
Sponge,0.75,granulated sugar,cup
Sponge,0.25,salt,teaspoon
Sponge,2,water,cup
